TS,DUR,X,Y,AOI,LN
755,150,1003,746,1,1
770,150,1003,746,1,1
787,150,1003,746,1,1
804,150,1003,746,1,1
820,150,1003,746,1,1
837,150,1003,746,1,1
854,150,1003,746,1,1
870,150,1003,746,1,1
970,67,503,227,1,1
987,67,503,227,1,2
1003,67,503,227,1,2
1020,67,503,227,1,2
1170,283,353,87,1,2
1187,283,353,87,1,2
1203,283,353,87,1,2
1220,283,353,87,1,2
1236,283,353,87,1,2
1253,283,353,87,1,2
1270,283,353,87,1,2
1286,283,353,87,1,3
1303,283,353,87,1,3
1320,283,353,87,1,3
1336,283,353,87,1,3
1353,283,353,87,1,3
1370,283,353,87,1,3
1386,283,353,87,1,3
1403,283,353,87,1,3
1420,283,353,87,1,3
1436,283,353,87,1,3
1503,83,387,97,1,4
1520,83,387,97,1,4
1536,83,387,97,1,4
1553,83,387,97,1,4
1570,83,387,97,1,4
1653,150,308,71,1,4
1669,150,308,71,1,4
1686,150,308,71,1,4
1703,150,308,71,1,4
1719,150,308,71,1,4
1736,150,308,71,1,5
1753,150,308,71,1,5
1769,150,308,71,1,5
1786,150,308,71,1,5
1853,133,447,107,1,5
1869,133,447,107,1,5
1886,133,447,107,1,5
1903,133,447,107,1,5
1919,133,447,107,1,5
1936,133,447,107,1,5
1953,133,447,107,1,6
1969,133,447,107,1,6
2053,200,500,78,1,6
2069,200,500,78,1,6
2086,200,500,78,1,6
2103,200,500,78,1,6
2119,200,500,78,1,6
2136,200,500,78,1,6
2153,200,500,78,1,6
2169,200,500,78,1,6
2186,200,500,78,1,7
2202,200,500,78,1,7
2219,200,500,78,1,7
2236,200,500,78,1,7
2286,150,576,83,1,7
2302,150,576,83,1,7
2319,150,576,83,1,7
2336,150,576,83,1,7
2352,150,576,83,1,7
2369,150,576,83,1,7
2386,150,576,83,1,8
2402,150,576,83,1,8
2419,150,576,83,1,8
2452,167,664,83,1,8
2469,167,664,83,1,8
2485,167,664,83,1,8
2502,167,664,83,1,8
2519,167,664,83,1,8
2535,167,664,83,1,8
2552,167,664,83,1,8
2569,167,664,83,1,9
2585,167,664,83,1,9
2602,167,664,83,1,9
2652,67,385,108,1,9
2669,67,385,108,1,9
2685,67,385,108,1,9
2702,67,385,108,1,9
2852,133,460,107,1,9
2869,133,460,107,1,9
2885,133,460,107,1,9
2902,133,460,107,1,10
2919,133,460,107,1,10
2935,133,460,107,1,10
2952,133,460,107,1,10
2969,133,460,107,1,10
3002,67,573,107,1,10
3018,67,573,107,1,10
3035,67,573,107,1,10
3052,67,573,107,1,10
3185,83,298,97,1,10
3202,83,298,97,1,11
3218,83,298,97,1,11
3235,83,298,97,1,11
3252,83,298,97,1,11
3418,216,430,120,1,11
3435,216,430,120,1,11
3451,216,430,120,1,11
3468,216,430,120,1,11
3485,216,430,120,1,11
3501,216,430,120,1,11
3518,216,430,120,1,12
3535,216,430,120,1,12
3551,216,430,120,1,12
3568,216,430,120,1,12
3585,216,430,120,1,12
3601,216,430,120,1,12
3618,216,430,120,1,12
3651,150,500,115,1,12
3668,150,500,115,1,12
3685,150,500,115,1,12
3701,150,500,115,1,13
3718,150,500,115,1,13
3735,150,500,115,1,13
3751,150,500,115,1,13
3768,150,500,115,1,13
3785,150,500,115,1,13
3835,216,554,100,1,13
3851,216,554,100,1,13
3868,216,554,100,1,13
3885,216,554,100,1,13
3901,216,554,100,1,14
3918,216,554,100,1,14
3935,216,554,100,1,14
3951,216,554,100,1,14
3968,216,554,100,1,14
3984,216,554,100,1,14
4001,216,554,100,1,14
4018,216,554,100,1,14
4034,216,554,100,1,14
4068,167,669,102,1,14
4084,167,669,102,1,15
4101,167,669,102,1,15
4118,167,669,102,1,15
4134,167,669,102,1,15
4151,167,669,102,1,15
4168,167,669,102,1,15
4184,167,669,102,1,15
4201,167,669,102,1,15
4218,167,669,102,1,15
4268,100,863,115,1,15
4284,100,863,115,1,16
4301,100,863,115,1,16
4317,100,863,115,1,16
4334,100,863,115,1,16
4351,100,863,115,1,16
4384,400,837,99,1,16
4401,400,837,99,1,16
4417,400,837,99,1,16
4434,400,837,99,1,16
4451,400,837,99,1,16
4467,400,837,99,1,17
4484,400,837,99,1,17
4501,400,837,99,1,17
4517,400,837,99,1,17
4534,400,837,99,1,17
4551,400,837,99,1,17
4567,400,837,99,1,17
4584,400,837,99,1,17
4601,400,837,99,1,17
4617,400,837,99,1,17
4634,400,837,99,1,18
4651,400,837,99,1,18
4667,400,837,99,1,18
4684,400,837,99,1,18
4701,400,837,99,1,18
4717,400,837,99,1,18
4734,400,837,99,1,18
4751,400,837,99,1,18
4767,400,837,99,1,18
5134,133,341,133,1,18
5150,133,341,133,1,19
5167,133,341,133,1,19
5184,133,341,133,1,19
5200,133,341,133,1,19
5217,133,341,133,1,19
5234,133,341,133,1,19
5250,133,341,133,1,19
5517,133,604,151,1,19
5533,133,604,151,1,19
5550,133,604,151,1,19
5567,133,604,151,1,20
5583,133,604,151,1,20
5600,133,604,151,1,20
5617,133,604,151,1,20
5633,133,604,151,1,20
5683,200,688,140,1,20
5700,200,688,140,1,20
5717,200,688,140,1,20
5733,200,688,140,1,20
5750,200,688,140,1,20
5752,200,688,140,1,21